path,line,literal,classification,action_taken,reason
scripts/analysis/a2_parse_results.py,98,"sev_today = [l.strip() for l in err_text_today.splitlines() if ""**  Severe  **"" in l]",one-off,left alone,"same layoutAssigner storey-matching debug family as a3_measure_band_deletion.py, same closed arc. Spent. (Also note: its literal ""**  Severe  **"" two-space-both-sides never matches real output either -- every real Severe line found on this machine is one-space- before/two-space-after -- but the script is retired, so it is listed, not fixed.)"
scripts/analysis/a2_parse_results.py,99,"fat_today = [l.strip() for l in err_text_today.splitlines() if ""**  Fatal  **"" in l]",one-off,left alone,same file/reason as line 98.
scripts/analysis/a2_parse_results.py,105,"sev_matched = [l.strip() for l in err_text_matched.splitlines() if ""**  Severe  **"" in l]",one-off,left alone,same file/reason as line 98.
scripts/analysis/a2_parse_results.py,106,"fat_matched = [l.strip() for l in err_text_matched.splitlines() if ""**  Fatal  **"" in l]",one-off,left alone,same file/reason as line 98.
scripts/analysis/a3_measure_band_deletion.py,116,"severe_lines = [line.strip() for line in err_text.splitlines() if ""**  Severe  **"" in line]",one-off,left alone,layoutAssigner storey-matching debug script (writes to docs/docs_ACTIVE/simulation-Resolution/layoutAssigner/debug/storey-Matching/results/); that arc is CLOSED per project memory and 'not certified for fleet EUI' -- cannot be on a path that produces an adopted artifact. Spent.
scripts/analysis/a3_measure_band_deletion.py,117,"fatal_lines = [line.strip() for line in err_text.splitlines() if ""**  Fatal  **"" in line]",one-off,left alone,same file/reason as line 116.
scripts/diagnostics/t01_reproduce_degenerate.py,109,"if (""** Severe **"" in l) or re.search(r""\*\*\s+Fatal\s+\*\*"", l)]",one-off,left alone,"single-building diagnostic (way/428643335), already run, per its own docstring ""reproduce degenerate-surface pathology"". Spent."
scripts/validation/run_v11_step5.py,79,"severes = [l.strip() for l in txt.splitlines() if ""** Severe **"" in l]",one-off,left alone,"V11 NYC city-centre pilot Step-5 driver, superseded by the V12/Phase-E pipeline. Spent."
scripts/validation/v12_la_centre_fetch_step5.py,125,"severes = [l.strip() for l in etxt.splitlines() if ""** Severe **"" in l]",one-off,left alone,one-time fetch+Step5 run for the V12 la_centre cell (predecessor validation tree). Spent.
scripts/validation/v12_la_centre_step5_fix.py,101,"severes = [ln.strip() for ln in etxt.splitlines() if ""** Severe **"" in ln]",one-off,left alone,one-time local re-aggregation for the V12 la_centre cell (predecessor validation tree). Spent.
scripts/validation/v12_la_rural_repair_472961100.py,335,"severes = [ln.strip() for ln in etxt.splitlines() if ""** Severe **"" in ln]",one-off,left alone,single-building repair (way/472961100) for the V12 la_rural cell (predecessor validation tree). Spent.
scripts/validation/v12_la_suburban_recover.py,396,"severes = [l.strip() for l in etxt.splitlines() if ""** Severe **"" in l]",one-off,left alone,one-time recovery for a single dropped-sbatch-response failure (way/442763908) in the V12 la_suburban cell (predecessor validation tree). Spent.
scripts/validation/v12_la_suburban_sql_repair_step5.py,73,"severes = [ln.strip() for ln in etxt.splitlines() if ""** Severe **"" in ln]",one-off,left alone,one-time SQL-path repair for the V12 la_suburban cell (predecessor validation tree). Spent.
scripts/validation/v12_la_urban_repair_step5.py,355,"severes = [l.strip() for l in etxt.splitlines() if ""** Severe **"" in l]",one-off,left alone,"repairs 3 named buildings (relation/6374725, way/402036180, way/428643335) for the V12 la_urban cell, predecessor validation tree (docs/validations/overAll/results/cases/, not the adopted phaseE_elevrb tree). Single historical use. Spent."
scripts/validation/v12_nyc_urban_recovery.py,258,"severes = [l.strip() for l in etxt.splitlines() if ""** Severe **"" in l]",one-off,left alone,"V12 nyc_urban recovery pipeline for one specific incident (bad fleet.lst format); writes to docs/validations/overAll/results/cases/ (a predecessor V12 validation tree, NOT docs_VALIDATION/.../phaseE_elevrb, the adopted run's tree). Single historical use. Spent."
